source,title,releaseDate,link,wistiaTitles,patreonTitles,runtime,availability
patreon,"Adele Sorella, Elaine Campione, Nikolas Cruz, Russell Williams",2019-01-29,,[],[],,Unavailable
patreon,"Stephanie Lazarus, Michael Rafferty, Dalia Dippolito",2019-01-29,,[],[],,Unavailable
patreon,"Rachel Wade, Raymond Gates, Stephen McDaniel",2019-01-29,,[],[],,Unavailable
patreon,Juvenile Interrogation Analysis,2019-01-29,https://jimmyc.wistia.com/medias/3b074a75f235f11c5ae99062629628e2378804cdb9ddb70af9a30a60ec59a858,"[""Juvenile Interrogation Analysis""]","[""Juvenile Interrogations""]",00:58:13,Available
patreon,"Stephen Port, George Huguely",2019-01-29,,[],[],,Unavailable
patreon,The Case of Alek Minassian,2019-01-29,https://jimmyc.wistia.com/medias/9a9cc12c3d98fbc46ffe531ea63e3c72f7034c96768864903ff14175998e1849,"[""The Case of Alek Minassian""]","[""The Case of Alek Minassian""]",00:53:24,Available
patreon,The Case of Chris Garnier,2019-02-09,https://jimmyc.wistia.com/medias/5c4f26d86656d636cac621a6fcc9914aacb63cf8b8259000c56fd1468f62305f,"[""The Case of Chris Garnier""]","[""The Case of Chris Garnier""]",00:31:02,Available
patreon,The Lost Tapes - pt.2,2019-02-25,,[],[],,Unavailable
patreon,The 'Code',2019-02-26,,[],[],,Unavailable
patreon,The Insanity Defense - pt. 2,2019-03-04,,[],[],,Unavailable
patreon,The Death Row Phenomenon,2019-03-04,https://jimmyc.wistia.com/medias/60027d16af1e94618a6b7348bf5b24202b6db7a497c45ceccc96b4bfc5a67011,"[""The Death Row Phenomenon""]","[""The Death Row Phenomenon""]",00:49:10,Available
patreon,The Most Compelling Juvenile Interrogations - pt.1,2019-03-21,,[],[],,Unavailable
patreon,The Case of Chris Watts - Part 4,2019-03-21,https://jimmyc.wistia.com/medias/63e5bb6912f9f371c235bd7fcb4ae7df5756f70a5d5902d0c66dfcebbbfb36ec,"[""The Case of Chris Watts - Part 4""]","[""CWpt. 4""]",00:44:52,Available
patreon,The 'Code' - parts 1 & 2,2019-03-21,,[],[],,Unavailable
patreon,Amber H and Cameron R,2019-03-21,https://jimmyc.wistia.com/medias/720f2525bbaca50cf18332ab6e29f8deba8d55e71c3844730abf3f203c2614da,"[""Amber H and Cameron R""]","[""Amber H and Cameron R""]",00:50:56,Available
patreon,The Most Compelling Police Interrogations pt. 8,2019-03-31,,[],[],,Unavailable
patreon,The Interrogations of Mr. Matthews & Miss Hoare,2019-04-21,,[],[],,Unavailable
patreon,Online Predator Psychology,2019-05-01,https://jimmyc.wistia.com/medias/5f1401218d9dcc2bd568773a102e8d4188a5c7252126f24876bd2a73b13a0f0f,"[""Online Predator Psychology""]","[""The Psychology of Online Predators - Part 4"",""The Psychology of Online Predators""]",00:30:24,Available
patreon,Police Interrogation Analysis - 8 - 2,2019-05-31,https://jimmyc.wistia.com/medias/73bcc1af9c31a32edf0144deffad46e2f71e346a04fb71cc0a9d51d559a684be,"[""Police Interrogation Analysis - 8 - 2""]","[""Police Interrogations #Viewer Discretion Advised##""]",01:09:02,Available
patreon,Police Interrogations pt. 8,2019-05-31,,[],[],,Unavailable
patreon,Police Interrogations pt. 9,2019-05-31,,[],[],,Unavailable
patreon,The Interrogation of Steven J. Williams,2019-06-19,https://jimmyc.wistia.com/medias/8b91a201bec67239aabbe979e14c86016301d8908895ce8e78bad8273a8e9f4e,"[""The Interrogation of Steven J. Williams""]","[""The Interrogation of Steven J. Williams""]",00:41:58,Available
patreon,The Hidden Perspective - Part 1 - Invisible Enemy,2019-07-03,https://jimmyc.wistia.com/medias/112e9fb177bf21e94ea9f177196a4047d121ef14acc88eed3e087c76f59ec264,"[""The Hidden Perspective - Part 1 - Invisible Enemy""]","[""The Hidden Perspective - Part 1 - Invisible Enemy #Viewer Discretion Advised#""]",00:27:01,Available
patreon,The Most Compelling Police Interrogations pt. 10,2019-07-03,,[],[],,Unavailable
patreon,The Psychology of Ted Bundy,2019-07-03,https://jimmyc.wistia.com/medias/1190dcf35887743053f3d521df3be6c490459072546adb046948fcab88054453,"[""The Psychology of Ted Bundy""]","[""The Psychology of Ted Bundy""]",00:50:56,Available
patreon,Police Interrogations of The Online Predators,2019-07-17,https://jimmyc.wistia.com/medias/69f9cdd896c1b3523418a734462230b727c60e1b4d3ff22f1013f8b9ffd0f4b6,"[""Police Interrogations of The Online Predators""]","[""Police Interrogations of The Online Predators""]",00:49:15,Available
patreon,Police Interrogations of The Online Predators,2019-07-17,,[],[],,Unavailable
patreon,Police Interrogations - 2,2019-07-31,https://jimmyc.wistia.com/medias/3f9cf58c43f49b681e6c69c64554836a2aa785a8cebff85da93c94b1ebff6c0e,"[""Police Interrogations - 2""]","[""Police Interrogations - 2""]",00:55:54,Available
patreon,TMC Police Interrogations pt. 12,2019-08-14,https://jimmyc.wistia.com/medias/0a5f979bdcce35c1edda39cb7d9e8f6e4ef323cd28a8f74780e304fe26782639,"[""TMC Police Interrogations pt. 12""]","[""Police Interrogations - 3""]",01:03:09,Available
patreon,TMC Police Interrogations pt. 13,2019-09-19,https://jimmyc.wistia.com/medias/dedafba8f8a673a63d46b8e2cb8b0444a0b744f5b57ef99177de6fbfa1017f36,"[""TMC Police Interrogations pt. 13""]","[""Police Interrogations - 4""]",01:05:50,Available
patreon,The Hidden Perspective - pt. 2 - Roll of the Dice,2019-10-02,https://jimmyc.wistia.com/medias/5d078a5f19506fe068a3339e9e0436f927ca7c6e7869348a1f12185595edc305,"[""The Hidden Perspective - pt. 2 - Roll of the Dice""]","[""The Hidden Perspective - pt. 2 - Roll of the Dice #Viewer Discretion Advised#""]",00:23:53,Available
