source,title,releaseDate,links,aliases,runtime
youtube,February 12th 1993 The Case of James Bulger,,{},[],00:18:52
youtube,Life After Prison,2018-10-01,"[{""link"":""https://www.youtube.com/watch?v=lJpZxkQ_dso"",""availability"":""Unavailable"",""runtime"":""00:00:00""}]",[],00:00:00
youtube,Young Prisoners - Vehicular Manslaughter,2018-10-02,"[{""link"":""https://www.youtube.com/watch?v=BlqFUmRamN4"",""availability"":""Unavailable"",""runtime"":""00:00:00""}]",[],00:00:00
youtube,Young Prisoners - First Degree Murder,2018-10-02,"[{""link"":""https://www.youtube.com/watch?v=55iy85X15Cc"",""availability"":""Unavailable"",""runtime"":""00:00:00""}]",[],00:00:00
youtube,Life In Juvie - High-Max,2018-10-04,"[{""link"":""https://www.youtube.com/watch?v=yRb4NrKtXq4"",""availability"":""Unavailable"",""runtime"":""00:00:00""}]",[],00:00:00
youtube,The Most Disturbing Police Interrogations pt. 3,2018-10-07,"[{""link"":""https://www.youtube.com/watch?v=26VQw4q9ZFU"",""availability"":""Unavailable"",""runtime"":""00:35:59""}]",[],00:35:59
youtube,The Most Compelling Police Interrogations pt. 4,2018-10-14,"[{""link"":""https://www.youtube.com/watch?v=DcqLYjBwcrk "",""availability"":"""",""runtime"":""00:32:51""}]",[],00:32:51
youtube,The Most Compelling Prison Interviews,2018-10-15,"[{""link"":""https://www.youtube.com/watch?v=poOgEoN9J0E"",""availability"":""Unavailable"",""runtime"":""00:00:00""}]",[],00:00:00
youtube,The Interrogation of Jodi Arias,2018-10-18,{},[],02:10:44
youtube,The Most Compelling Police Interrogations,2018-10-24,"[{""link"":""https://www.youtube.com/watch?v=d8mByf4CRis"",""availability"":""Unavailable"",""runtime"":""00:19:49""}]",[],00:19:49
youtube,The Most Compelling Police Interrogations pt. 2,2018-10-30,{},[],00:49:45
youtube,The Most Compelling Police Interrogations pt. 3,2018-11-01,"[{""link"":""https://www.youtube.com/watch?v=D7-3CA_BaAw"",""availability"":""Unavailable"",""runtime"":""00:35:59""}]",[],00:35:59
youtube,The Most Compelling Police Interrogations pt. 4,2018-11-12,"[{""link"":""https://www.youtube.com/watch?v=_WnhP91NJeU"",""availability"":""Unavailable"",""runtime"":""00:42:58""}]",[],00:42:58
youtube,The Most Compelling Police Interrogations pt. 5,2018-11-25,"[{""link"":""https://www.youtube.com/watch?v=3JbjrGT84xk"",""availability"":""Unavailable"",""runtime"":""00:49:45""}]",[],00:49:45
youtube,The Most Compelling Police Interrogations pt. 6,2018-11-25,"[{""link"":""https://www.youtube.com/watch?v=5izGovLYoF0"",""availability"":""Unavailable"",""runtime"":""00:29:28""}]",[],00:29:28
youtube,The Most Compelling Police Interrogations pt. 7,2018-12-05,{},[],01:03:24
youtube,The Truth About Narcissism,2018-12-27,"[{""link"":""https://www.youtube.com/watch?v=wM5e-8WwgyE"",""availability"":""Unavailable"",""runtime"":""00:07:10""}]",[],00:07:10
youtube,The Most Compelling Police Interrogations pt. 8 - 1,2019-01-01,"[{""link"":""https://www.youtube.com/watch?v=MYK_eVpRyqc"",""availability"":""Unavailable"",""runtime"":""00:37:02""}]",[],00:37:02
youtube,The Lifer Perspective pt. 1,2019-01-13,"[{""link"":""https://www.youtube.com/watch?v=9LqZFAYOjGw"",""availability"":""Unavailable"",""runtime"":""00:10:11""}]",[],00:10:11
youtube,The Case of Chris Watts - pt. 1,2019-01-17,{},[],00:21:19
youtube,The Case of Chris Watts - Part 2 - The Polygraph,2019-01-23,{},[],00:24:24
youtube,The Case of Chris Watts - Part 3 - The Confession,2019-01-29,{},[],00:30:37
youtube,The Case of Chris Watts pt.4 - Nichol Kessinger,2019-02-26,"[{""link"":""https://www.youtube.com/watch?v=2AWmgbaf97I"",""availability"":""Unavailable"",""runtime"":""00:48:33""}]",[],00:48:33
youtube,Shaun Attwood's Interrogations,2019-02-28,"[{""link"":""https://www.youtube.com/watch?v=r8JHC3lUMis"",""availability"":""Unavailable"",""runtime"":""00:21:44""}]",[],00:21:44
youtube,Christina's Prison Story,2019-02-28,"[{""link"":""https://www.youtube.com/watch?v=6RqPFZsXSu0"",""availability"":""Unavailable"",""runtime"":""00:12:08""}]",[],00:12:08
youtube,The Insanity Defense pt. 1,2019-03-03,"[{""link"":""https://www.youtube.com/watch?v=tfZJ0_pGCRs"",""availability"":""Unavailable"",""runtime"":""00:25:23""}]",[],00:25:23
youtube,The Interrogation of Steven J. Williams,2019-03-15,"[{""link"":""https://www.youtube.com/watch?v=ERY1v3fYr_A"",""availability"":""Unavailable"",""runtime"":""00:42:12""}]",[],00:42:12
youtube,The Interrogations of Amber Hilberling & Cameron Rogers,2019-03-30,"[{""link"":""https://www.youtube.com/watch?v=QSQUxqlAjHg"",""availability"":""Unavailable"",""runtime"":""00:52:57""}]",[],00:52:57
youtube,The Most Compelling Police Interrogations pt. 7,2019-03-31,"[{""link"":""https://www.youtube.com/watch?v=hneR5LqrNw4"",""availability"":""Unavailable"",""runtime"":""01:01:54""}]",[],01:01:54
youtube,The Case of Jussie Smollett,2019-04-09,{},[],00:38:36
youtube,The Most Compelling Police Interrogations pt. 8 - 2,2019-05-01,"[{""link"":""https://www.youtube.com/watch?v=5fmhLRkeruM"",""availability"":""Unavailable"",""runtime"":""00:52:18""}]",[],00:52:18
youtube,The Death Row Phenomenon,2019-05-21,"[{""link"":""https://www.youtube.com/watch?v=rGU16w3gGbs"",""availability"":""Unavailable"",""runtime"":""00:49:25""}]",[],00:49:25
youtube,The Interrogation of Christopher Garnier,2019-05-31,"[{""link"":""https://www.youtube.com/watch?v=KFAwQ-lhSOA"",""availability"":""Unavailable"",""runtime"":""00:34:01""}]",[],00:34:01
youtube,The Psychology of Ted Bundy,2019-06-19,"[{""link"":""https://www.youtube.com/watch?v=6FGmHyMNQdM"",""availability"":""Unavailable"",""runtime"":""00:51:45""}]",[],00:51:45
youtube,The Interrogations of Mr. Mathews and Miss Hoare,2019-07-03,"[{""link"":""https://www.youtube.com/watch?v=84TT89V7_Yo"",""availability"":""Unavailable"",""runtime"":""00:57:52""}]",[],00:57:52
youtube,The Interrogation of Col. Russell Williams,2019-08-03,"[{""link"":""https://www.youtube.com/watch?v=jJZv3z7FOt0"",""availability"":""Unlisted"",""runtime"":""01:07:54""}]",[],01:06:33
youtube,The Psychology of Brooke Houts,2019-08-08,"[{""link"":""https://www.youtube.com/watch?v=V26p0vg_GLQ"",""availability"":""Unavailable"",""runtime"":""00:06:36""}]",[],00:06:36
youtube,The Interrogation of Stephanie Lazarus,2019-08-21,{},[],00:50:18
youtube,The Case of Grant Amato,2019-08-31,{},[],01:41:40
youtube,The Interrogation of George the 5th,2019-09-25,"[{""link"":""https://www.youtube.com/watch?v=H1E39N-vmXE"",""availability"":""Unavailable"",""runtime"":""00:53:07""}]",[],00:53:07
